"category","total_orders","total_revenue","avg_item_price","pct_of_total_revenue"
"beleza_saude","8647","1233131.72","130.28","9.45"
"relogios_presentes","5495","1166176.98","199.04","8.94"
"cama_mesa_banho","9272","1023434.76","93.44","7.84"
"esporte_lazer","7530","954852.55","113.25","7.32"
"informatica_acessorios","6530","888724.61","116.26","6.81"
"moveis_decoracao","6307","711927.69","87.25","5.46"
"utilidades_domesticas","5743","615628.69","90.60","4.72"
"cool_stuff","3559","610204.10","164.12","4.68"
"automotivo","3810","578966.65","139.85","4.44"
"brinquedos","3804","471286.48","116.94","3.61"
