"seller_id","seller_state","total_orders","total_revenue","avg_review_score","revenue_rank","satisfaction_rank"
"4869f7a5dfa277a7dca6462dcf3b52b2","SP","1116","225586.34","4.14","1","207"
"53243585a1d6dc2643021fd1853d8905","BA","346","215904.44","4.13","2","213"
"4a3ca9315b744ce9f8e9374361493884","SP","1753","197225.32","3.83","3","355"
"fa1c13f2614d7b5c4749cbc52fecda94","SP","574","189649.54","4.37","4","71"
"7c67e1448b00f6e969d365cea6b010ab","SP","967","186664.01","3.35","5","406"
"7e93a43ef30c4f03f38b393420bc753a","SP","318","165751.50","4.36","6","76"
"da8622b14eb17ae2831f4ac5b9dab84a","SP","1305","161574.27","4.08","7","244"
"7a67c85e85bb2ce8582c35f2203ad736","SP","1137","139188.73","4.27","8","125"
"1025f0e2d44d7041d6cf58b6550e0bfa","SP","902","138691.40","3.87","9","346"
"955fee9216a65b617aa5c0531780ce60","SP","1253","130823.82","4.09","10","236"
"46dc3b2cc0980fb8ec44634e21d2718e","RJ","497","120866.45","4.26","11","132"
"6560211a19b47992c3666cc44a7e94c0","SP","1805","120010.82","3.95","12","306"
"7d13fca15225358621be4086e1eb0964","SP","555","112027.29","4.02","13","272"
"620c87c171fb2a6dd6e8bb4dec959fc6","RJ","716","111752.20","4.27","14","125"
"5dceca129747e92ff8ef7a997dc4f8ca","SP","318","109459.93","4.02","15","272"
"1f50f920176fa81dab994f9023523100","SP","1394","106718.71","3.99","16","288"
"cc419e0650a3c5ba77189a1882b7556a","SP","1647","102898.60","4.15","17","201"
"a1043bafd471dff536d0c462352beb48","MG","700","99011.23","4.25","18","137"
"3d871de0142ce09b7081e2b9d1733cb1","SP","1053","92454.00","4.15","19","201"
"edb1ef5e36e0c8cd84eb3c9b003e486d","RJ","165","79144.90","4.45","20","36"
