"seller_id","seller_state","total_orders","total_revenue","avg_item_price"
"4869f7a5dfa277a7dca6462dcf3b52b2","SP","1124","226987.93","197.72"
"53243585a1d6dc2643021fd1853d8905","BA","348","217940.44","544.85"
"4a3ca9315b744ce9f8e9374361493884","SP","1772","196882.12","101.02"
"fa1c13f2614d7b5c4749cbc52fecda94","SP","578","190917.14","329.74"
"7c67e1448b00f6e969d365cea6b010ab","SP","973","186570.05","137.69"
"7e93a43ef30c4f03f38b393420bc753a","SP","319","165981.49","515.47"
"da8622b14eb17ae2831f4ac5b9dab84a","SP","1311","159816.87","103.24"
"7a67c85e85bb2ce8582c35f2203ad736","SP","1145","139658.69","120.92"
"1025f0e2d44d7041d6cf58b6550e0bfa","SP","910","138208.56","97.33"
"955fee9216a65b617aa5c0531780ce60","SP","1261","131836.71","89.56"
